ID,Feature_A,Feature_B,Feature_C,Target
1,54.96714153011233,16.748258225906977,Medium,Class2
2,48.61735698828815,10.456784033440025,High,Class3
3,56.47688538100692,63.64302495436367,Low,Class1
4,65.23029856408026,70.64757264869012,Medium,Class1
5,47.658466252766644,3.1586144825642037,High,Class1
6,47.6586304305082,93.62122462436898,Low,Class1
7,65.79212815507391,5.1971283651472415,Low,Class2
8,57.67434729152909,54.12963353010704,Low,Class2
9,45.30525614065048,70.90605194509165,Medium,Class1
10,55.42560043585965,87.09691237460856,Medium,Class3
11,,,,Class1
12,45.34270246429743,80.17280830697918,Medium,Class3
13,52.41962271566034,33.94501925428061,Medium,Class1
14,30.86719755342202,81.48251137465122,Low,Class3
15,32.75082167486967,8.011484638467515,Low,Class1
16,44.37712470759027,89.48166560605276,Low,Class3
17,39.87168879665576,54.75923761537362,Low,Class1
18,53.142473325952736,81.72977699624937,Low,Class1
19,40.91975924478789,45.23182845183001,Low,Class3
20,35.87696298664709,64.35776951965249,Low,Class2
21,64.65648768921554,52.640266093611324,High,Class3
22,47.74223699513465,73.15895217553319,High,Class2
23,50.67528204687924,8.162998203058958,High,Class1
24,,,,Class3
25,44.556172754748175,24.710323401014644,Low,Class3
26,51.10922589709866,15.954468011318834,High,Class3
27,38.490064225776976,87.17835665922017,Low,Class2
28,53.75698018345672,21.92139873580443,High,Class2
29,43.99361310081195,97.58652558191314,Medium,Class1
30,47.083062502067236,33.68957917711069,High,Class2
31,,,,Class2
32,68.52278184508938,78.96985071424791,Low,Class1
33,49.86502775262066,65.87077755008761,High,Class3
34,39.422890710440996,49.8195716453139,Medium,Class3
35,58.225449121031886,55.53635509376312,Low,Class1
36,37.791563500289776,71.92017782722638,Low,Class3
37,52.08863595004755,22.845474133129873,High,Class2
38,30.403298761202244,99.63339160567419,Low,Class1
39,36.71813951101569,97.4793162146783,Low,Class1
40,,,,Class1
41,57.38466579995411,19.954245092914512,Low,Class3
42,51.7136828118997,68.02282424312914,Low,Class1
43,48.843517176117594,7.219840897917584,Low,Class1
44,46.98896304410711,3.0652502205806065,Medium,Class1
45,35.214780096325725,25.76828885112137,High,Class3
46,42.801557916052914,46.26229567393163,Medium,Class2
47,45.393612290402125,86.82725054083805,Low,Class1
48,60.57122226218915,72.7169069766308,Low,Class2
49,53.43618289568462,74.2706521199981,High,Class3
50,32.36959844637266,42.54933344480754,Medium,Class3
51,53.24083969394795,34.59349925469629,High,Class3
52,46.149177195836835,37.10387629846027,Medium,Class3
53,43.23077999694041,98.76495637360578,Low,Class2
54,56.11676288840868,4.010919141248248,High,Class1
55,,,,Class3
56,59.31280119116199,57.86754085723934,Low,Class3
57,41.607824767773614,43.86154191895905,High,Class2
58,46.907876241487855,72.52576604151365,Medium,Class2
59,53.31263431403564,48.666894142470284,Medium,Class3
60,,,,Class1
61,45.2082576215471,90.07018640112585,Medium,Class1
